job_role,skills,experience_level,domain,education_level,tools,required_experience_years,min_salary,max_salary,currency,job_type,industry,certifications,responsibilities,soft_skills,job_level,location,importance_score
Software Developer,"javascript,git,api,node.js,docker,java,typescript,python,html,react,css,rest",entry,software,master,vscode,8,784374,1969560,INR,contract,Cloud,aws developer,write clean code,"adaptability,creativity",Lead,Bangalore,2
Backend Developer,"api,django,docker,sql,node.js,mongodb,express,redis,rest,postgresql,spring,java",mid,software,diploma,docker,7,1247090,1714086,INR,intern,Cybersecurity,aws practitioner,manage databases,"communication,problem-solving",Architect,Bangalore,3
Full Stack Developer,"sql,express,rest,javascript,css",mid,software,diploma,figma,4,1352476,1928214,INR,remote,Fintech,full stack certificate,deployment,"teamwork,communication",Mid-level,Pune,5
Data Analyst,"excel,sql,python,pandas,powerbi,statistics,tableau,data visualization",entry,data,diploma,powerbi,3,635190,2367850,INR,full-time,AI/ML,google data analytics,analyze data,"creativity,adaptability",Junior,Delhi,5
Data Scientist,"python,numpy,statistics,seaborn,nlp",entry,data,master,python,10,453433,2174009,INR,full-time,AI/ML,ibm data science,analyze datasets,"creativity,problem-solving",Architect,Pune,5
DevOps Engineer,"jenkins,ci/cd,linux,docker,monitoring",mid,devops,diploma,docker,3,755408,2710267,INR,on-site,Healthcare,docker certified,manage CI/CD,"leadership,communication",Lead,Bangalore,2
Backend Developer,"java,node.js,redis,python,django,api,mongodb,express,spring,postgresql",mid,software,bachelor,vscode,1,691481,2322971,INR,full-time,IT Services,aws practitioner,build APIs,"leadership,adaptability",Mid-level,USA,3
Backend Developer,"django,docker,spring,redis,rest,express,postgresql,sql,node.js",entry,software,bachelor,docker,5,1012884,2507742,INR,full-time,E-commerce,aws practitioner,build APIs,"problem-solving,communication",Junior,Mumbai,3
Backend Developer,"rest,postgresql,docker,java,redis,express,django,spring,node.js,mongodb,python,sql",mid,software,diploma,postman,6,1438817,2492791,INR,contract,IT Services,aws practitioner,manage databases,"communication,problem-solving",Senior,Bangalore,3
Machine Learning Engineer,"numpy,docker,pytorch,tensorflow,nlp,pandas,python,mlops,scikit-learn",entry,data,diploma,jupyter,5,1079016,1930804,INR,intern,IT Services,google ml engineer,train ML models,"leadership,adaptability",Mid-level,Pune,1
Full Stack Developer,"node.js,rest,html,docker,mongodb,api,express,javascript,sql,git,css",entry,software,bachelor,vscode,9,858216,2000730,INR,full-time,Fintech,full stack certificate,end-to-end development,"teamwork,communication",Architect,Remote,4
Data Scientist,"numpy,scikit-learn,sql,seaborn,python,statistics,pandas,nlp,matplotlib",entry,data,diploma,jupyter,4,1454469,2573168,INR,remote,Cloud,ibm data science,analyze datasets,"leadership,adaptability",Mid-level,Bangalore,4
Cybersecurity Analyst,"python,cryptography,incident response,network security,firewall",entry,security,bachelor,metasploit,9,1321712,2193844,INR,contract,Healthcare,ceh,threat monitoring,"communication,problem-solving",Senior,Hyderabad,2
Backend Developer,"rest,python,spring,node.js,express,redis,docker,django",senior,software,master,postman,6,395404,2200013,INR,contract,E-commerce,aws practitioner,build APIs,"creativity,teamwork",Senior,Mumbai,1
Data Analyst,"sql,data visualization,tableau,powerbi,pandas,statistics,python,excel",entry,data,bachelor,powerbi,6,1383720,2746153,INR,intern,Healthcare,google data analytics,create dashboards,"communication,adaptability",Architect,Mumbai,1
Frontend Developer,"webpack,redux,react,tailwind,css",senior,software,bachelor,vscode,6,309651,2729431,INR,remote,Cybersecurity,frontend nanodegree,optimize frontend performance,"leadership,teamwork",Junior,Bangalore,5
Full Stack Developer,"api,react,html,docker,css,node.js,mongodb,javascript,express,rest",entry,software,master,vscode,2,1186227,1529791,INR,remote,AI/ML,full stack certificate,end-to-end development,"leadership,problem-solving",Senior,Hyderabad,3
Cloud Engineer,"monitoring,terraform,docker,linux,gcp",senior,cloud,master,cloudwatch,10,1214507,1945764,INR,on-site,Cloud,aws cloud practitioner,deploy cloud infra,"communication,creativity",Senior,Mumbai,4
Software Developer,"react,c#,html,java,typescript,git,rest,node.js,api,docker,css,python",mid,software,master,postman,5,911616,2881767,INR,remote,Cloud,oracle java,fix bugs,"communication,creativity",Architect,Chennai,2
Backend Developer,"api,express,spring,java,postgresql,rest,django,python,redis,node.js",senior,software,diploma,postman,1,563879,2523080,INR,intern,Cybersecurity,aws practitioner,manage databases,"problem-solving,teamwork",Mid-level,Bangalore,4
Machine Learning Engineer,"docker,scikit-learn,mlops,sql,tensorflow,python,pytorch,nlp,deep learning,numpy",mid,data,diploma,tensorflow,4,1493679,2942817,INR,on-site,Cloud,google ml engineer,build pipelines,"problem-solving,adaptability",Junior,Remote,4
Full Stack Developer,"react,css,api,git,javascript,html,rest,node.js,sql",entry,software,master,vscode,5,313900,2271313,INR,remote,IT Services,full stack certificate,end-to-end development,"creativity,problem-solving",Junior,USA,2
DevOps Engineer,"kubernetes,linux,jenkins,ci/cd,terraform",entry,devops,bachelor,kubernetes,10,1271204,1665156,INR,on-site,Fintech,docker certified,manage CI/CD,"communication,problem-solving",Mid-level,Chennai,5
Backend Developer,"rest,django,spring,docker,postgresql,express,redis,api,node.js,sql,mongodb",mid,software,diploma,vscode,4,630794,1563348,INR,intern,E-commerce,aws practitioner,build APIs,"problem-solving,teamwork",Senior,Mumbai,5
Software Developer,"java,git,html,react,python,typescript,css,docker,api,node.js",entry,software,diploma,git,7,1146645,2459457,INR,remote,Cloud,oracle java,develop software features,"adaptability,problem-solving",Lead,Mumbai,2
Data Analyst,"pandas,tableau,data visualization,powerbi,sql,python,excel,statistics",entry,data,bachelor,powerbi,10,931790,2288005,INR,remote,IT Services,google data analytics,analyze data,"creativity,problem-solving",Lead,Chennai,3
Frontend Developer,"webpack,jest,react,tailwind,css",entry,software,diploma,vscode,10,454426,2523674,INR,hybrid,E-commerce,frontend nanodegree,optimize frontend performance,"adaptability,teamwork",Lead,Bangalore,5
Full Stack Developer,"rest,javascript,docker,mongodb,react,css,express,sql,git,api,node.js",senior,software,master,vscode,6,534618,2540141,INR,full-time,Healthcare,full stack certificate,deployment,"problem-solving,creativity",Junior,USA,3
Machine Learning Engineer,"numpy,nlp,sql,mlops,tensorflow,scikit-learn,docker,pytorch",senior,data,master,jupyter,5,695509,2882047,INR,intern,IT Services,google ml engineer,train ML models,"adaptability,teamwork",Architect,Hyderabad,4
Data Analyst,"statistics,python,data visualization,sql,powerbi",senior,data,diploma,tableau,1,1358794,1635631,INR,remote,AI/ML,google data analytics,analyze data,"communication,adaptability",Junior,Chennai,5
Frontend Developer,"html,react,javascript,jest,sass,redux,tailwind,typescript,webpack,css",entry,software,bachelor,figma,6,953469,1849445,INR,hybrid,Fintech,frontend nanodegree,build UI,"leadership,problem-solving",Architect,Bangalore,5
Cybersecurity Analyst,"incident response,vulnerability assessment,firewall,network security,linux,python",entry,security,master,metasploit,9,896780,2790747,INR,hybrid,Gaming,ceh,security audits,"communication,leadership",Lead,Mumbai,3
Data Analyst,"python,excel,pandas,statistics,data visualization,sql,tableau",senior,data,master,excel,6,1187989,2758182,INR,intern,Healthcare,google data analytics,create dashboards,"leadership,creativity",Mid-level,Canada,4
Data Analyst,"sql,excel,data visualization,tableau,pandas,statistics,powerbi,python",senior,data,bachelor,powerbi,7,341751,1616029,INR,full-time,Cybersecurity,google data analytics,create dashboards,"adaptability,teamwork",Lead,Delhi,1
Data Scientist,"matplotlib,data analysis,numpy,seaborn,scikit-learn",entry,data,diploma,tableau,7,1388285,2051235,INR,remote,Cybersecurity,ibm data science,build predictive models,"problem-solving,creativity",Lead,Mumbai,3
Frontend Developer,"webpack,javascript,html,css,typescript,react,sass",mid,software,bachelor,figma,1,583254,1824490,INR,on-site,IT Services,frontend nanodegree,optimize frontend performance,"creativity,adaptability",Lead,Remote,4
Software Developer,"html,node.js,c#,python,css,sql,react",senior,software,master,git,9,391949,2270091,INR,remote,Fintech,aws developer,fix bugs,"problem-solving,communication",Mid-level,Chennai,2
Data Scientist,"nlp,sql,matplotlib,pandas,seaborn,data analysis,scikit-learn,statistics,numpy,python",mid,data,master,python,7,407081,1852774,INR,remote,E-commerce,ibm data science,build predictive models,"teamwork,leadership",Lead,USA,4
Cloud Engineer,"gcp,monitoring,kubernetes,linux,azure,ci/cd,docker",senior,cloud,master,jenkins,7,472847,2240109,INR,intern,IT Services,aws cloud practitioner,deploy cloud infra,"creativity,leadership",Lead,Chennai,3
Software Developer,"javascript,python,html,node.js,java,docker,sql,c#,react,api,git,rest",entry,software,master,vscode,4,1352756,2895289,INR,hybrid,Healthcare,oracle java,write clean code,"communication,problem-solving",Senior,Chennai,2
Data Scientist,"pandas,matplotlib,scikit-learn,data analysis,python,statistics,sql",entry,data,diploma,tableau,1,464824,2764429,INR,intern,IT Services,ibm data science,analyze datasets,"communication,teamwork",Mid-level,Remote,2
Frontend Developer,"react,jest,css,html,redux,webpack,sass,typescript,javascript",mid,software,diploma,chrome devtools,8,378173,2336119,INR,on-site,Cloud,frontend nanodegree,build UI,"creativity,leadership",Architect,Chennai,1
Frontend Developer,"webpack,redux,react,html,jest,sass,javascript,typescript,tailwind,css",senior,software,bachelor,chrome devtools,0,747576,2499936,INR,full-time,Healthcare,frontend nanodegree,optimize frontend performance,"creativity,communication",Junior,Bangalore,3
Full Stack Developer,"git,api,express,sql,node.js,rest,react,javascript,mongodb",mid,software,bachelor,postman,5,1260839,1679807,INR,full-time,AI/ML,full stack certificate,deployment,"teamwork,adaptability",Lead,Pune,4
Cloud Engineer,"docker,monitoring,ci/cd,kubernetes,aws,linux",mid,cloud,master,terraform,9,621973,1980499,INR,intern,Cloud,aws cloud practitioner,deploy cloud infra,"communication,problem-solving",Senior,Canada,3
Backend Developer,"django,redis,python,node.js,mongodb,api,sql,docker,express",entry,software,master,docker,2,879694,2844085,INR,intern,AI/ML,aws practitioner,manage databases,"leadership,problem-solving",Junior,USA,4
Software Developer,"css,react,html,sql,rest,python,git,java,javascript",entry,software,diploma,postman,6,681106,2231766,INR,hybrid,Cybersecurity,aws developer,fix bugs,"teamwork,communication",Lead,Mumbai,4
Data Scientist,"data analysis,matplotlib,statistics,scikit-learn,seaborn,python,numpy,sql",entry,data,diploma,jupyter,6,1009629,2872032,INR,intern,Healthcare,ibm data science,build predictive models,"problem-solving,communication",Architect,Mumbai,5
Backend Developer,"postgresql,spring,docker,express,java,rest,mongodb,redis,python,node.js,django",senior,software,master,vscode,10,619299,1619924,INR,intern,Cybersecurity,aws practitioner,manage databases,"problem-solving,communication",Senior,Delhi,1
Machine Learning Engineer,"tensorflow,python,mlops,scikit-learn,docker,deep learning,pytorch,numpy,pandas,nlp",entry,data,bachelor,pytorch,7,351708,2560748,INR,remote,Cloud,google ml engineer,train ML models,"communication,teamwork",Senior,Remote,4
Software Developer,"rest,c#,sql,typescript,html,python,react",senior,software,bachelor,vscode,10,1331920,1641360,INR,hybrid,Cloud,oracle java,fix bugs,"teamwork,leadership",Senior,USA,3
Machine Learning Engineer,"nlp,sql,tensorflow,pandas,mlops,pytorch",senior,data,diploma,jupyter,0,711710,2241076,INR,hybrid,Gaming,google ml engineer,build pipelines,"communication,creativity",Mid-level,Mumbai,1
Frontend Developer,"sass,webpack,css,jest,javascript",entry,software,master,chrome devtools,10,460039,1941022,INR,on-site,Cloud,frontend nanodegree,optimize frontend performance,"communication,leadership",Lead,Chennai,2
Machine Learning Engineer,"sql,mlops,scikit-learn,python,deep learning,docker,numpy,pandas",entry,data,diploma,tensorflow,10,903327,2374841,INR,intern,AI/ML,google ml engineer,train ML models,"creativity,leadership",Junior,Mumbai,4
Data Scientist,"seaborn,matplotlib,data analysis,statistics,python,sql,scikit-learn,nlp,pandas",senior,data,master,tableau,0,376574,2083075,INR,hybrid,IT Services,ibm data science,analyze datasets,"communication,adaptability",Senior,Mumbai,3
Machine Learning Engineer,"deep learning,tensorflow,pandas,mlops,docker,nlp,scikit-learn,python",senior,data,master,tensorflow,5,533134,1786923,INR,hybrid,Fintech,google ml engineer,build pipelines,"leadership,teamwork",Senior,Hyderabad,2
Machine Learning Engineer,"numpy,deep learning,mlops,pandas,pytorch,sql,nlp,docker,scikit-learn,python,tensorflow",senior,data,master,tensorflow,9,1140549,2620649,INR,hybrid,Cloud,google ml engineer,build pipelines,"communication,leadership",Architect,Hyderabad,1
Cybersecurity Analyst,"python,vulnerability assessment,firewall,network security,incident response,cryptography,linux",senior,security,master,wireshark,2,531014,1624942,INR,contract,Cybersecurity,ceh,security audits,"communication,problem-solving",Lead,Chennai,5
Data Analyst,"excel,statistics,data visualization,sql,tableau,pandas,python,powerbi",entry,data,master,tableau,3,1262122,1961575,INR,full-time,Gaming,google data analytics,create dashboards,"creativity,problem-solving",Junior,Pune,4
Cybersecurity Analyst,"cryptography,linux,vulnerability assessment,network security,incident response",senior,security,bachelor,nessus,10,513315,1989833,INR,full-time,Fintech,ceh,security audits,"creativity,problem-solving",Architect,Remote,1
Full Stack Developer,"sql,react,api,express,mongodb,javascript,git,html",senior,software,diploma,vscode,8,1074646,2956058,INR,contract,Cybersecurity,full stack certificate,deployment,"problem-solving,communication",Mid-level,Bangalore,2
Backend Developer,"django,java,spring,rest,redis,node.js,mongodb,python,api,express",senior,software,master,docker,3,1033670,2068356,INR,on-site,IT Services,aws practitioner,manage databases,"creativity,leadership",Lead,Chennai,3
Data Scientist,"statistics,pandas,data analysis,scikit-learn,python,numpy,nlp",senior,data,diploma,jupyter,2,330502,2253463,INR,contract,IT Services,ibm data science,analyze datasets,"teamwork,leadership",Junior,Bangalore,1
Machine Learning Engineer,"sql,nlp,deep learning,docker,tensorflow,mlops,scikit-learn,numpy,pytorch,python,pandas",senior,data,master,tensorflow,10,1166709,1813953,INR,on-site,IT Services,google ml engineer,build pipelines,"creativity,leadership",Architect,Chennai,3
Backend Developer,"sql,python,docker,express,redis",senior,software,diploma,postman,6,1098040,2947080,INR,hybrid,Fintech,aws practitioner,build APIs,"leadership,communication",Architect,Chennai,2
Data Scientist,"python,nlp,seaborn,statistics,data analysis,scikit-learn,sql,numpy,matplotlib",mid,data,master,tableau,2,588910,2723590,INR,remote,Fintech,ibm data science,build predictive models,"problem-solving,adaptability",Mid-level,Remote,4
Data Scientist,"scikit-learn,python,pandas,nlp,statistics",mid,data,bachelor,python,10,687955,2679285,INR,full-time,Gaming,ibm data science,build predictive models,"communication,problem-solving",Mid-level,Hyderabad,2
Full Stack Developer,"docker,css,express,node.js,html,rest,react,git",senior,software,bachelor,figma,3,814898,2046815,INR,intern,IT Services,full stack certificate,end-to-end development,"communication,problem-solving",Junior,Delhi,5
Backend Developer,"java,spring,mongodb,docker,python,sql,redis,rest,api",mid,software,bachelor,postman,0,529950,1820531,INR,on-site,Healthcare,aws practitioner,build APIs,"teamwork,adaptability",Lead,Remote,5
Software Developer,"node.js,typescript,git,react,css,java,docker,api,sql,python",senior,software,bachelor,git,6,1195774,2830980,INR,on-site,E-commerce,oracle java,write clean code,"problem-solving,adaptability",Senior,Remote,2
Full Stack Developer,"git,html,css,node.js,mongodb,rest,docker",senior,software,diploma,postman,5,399481,2023291,INR,full-time,Cybersecurity,full stack certificate,deployment,"leadership,communication",Architect,Bangalore,4
Software Developer,"rest,html,typescript,java,c#,javascript,api,sql,css,react,git,python",entry,software,diploma,postman,8,697191,2497899,INR,hybrid,IT Services,oracle java,write clean code,"adaptability,creativity",Architect,Chennai,1
Machine Learning Engineer,"numpy,nlp,pytorch,tensorflow,pandas,scikit-learn,mlops",senior,data,master,pytorch,5,1237698,1588825,INR,on-site,Cybersecurity,google ml engineer,build pipelines,"leadership,teamwork",Junior,Hyderabad,4
DevOps Engineer,"linux,jenkins,ci/cd,aws,kubernetes",mid,devops,bachelor,kubernetes,3,682951,1953409,INR,contract,E-commerce,docker certified,infra automation,"communication,adaptability",Senior,Canada,4
Frontend Developer,"css,html,typescript,webpack,sass,javascript,react,redux,tailwind",mid,software,master,chrome devtools,1,1268191,2357011,INR,contract,IT Services,frontend nanodegree,build UI,"creativity,teamwork",Senior,Remote,3
Cybersecurity Analyst,"network security,incident response,cryptography,firewall,vulnerability assessment,python,linux",mid,security,bachelor,metasploit,8,1458918,2483015,INR,on-site,AI/ML,ceh,threat monitoring,"creativity,teamwork",Senior,Pune,4
Frontend Developer,"webpack,redux,javascript,react,sass,jest,typescript,css,tailwind,html",senior,software,bachelor,chrome devtools,4,633042,2739110,INR,hybrid,E-commerce,frontend nanodegree,optimize frontend performance,"problem-solving,leadership",Mid-level,Chennai,5
DevOps Engineer,"monitoring,ci/cd,jenkins,terraform,aws",mid,devops,master,docker,2,376690,2724806,INR,on-site,Cloud,docker certified,manage CI/CD,"creativity,teamwork",Mid-level,Pune,4
Full Stack Developer,"sql,rest,api,node.js,express,react,docker,html,mongodb,git",senior,software,master,figma,7,692777,2280494,INR,remote,IT Services,full stack certificate,end-to-end development,"adaptability,leadership",Mid-level,Mumbai,5
Data Analyst,"sql,data visualization,python,excel,pandas,powerbi",entry,data,diploma,tableau,0,432895,2825648,INR,remote,E-commerce,google data analytics,analyze data,"communication,adaptability",Senior,Bangalore,4
DevOps Engineer,"jenkins,terraform,aws,monitoring,ci/cd,linux,docker",mid,devops,diploma,docker,6,562659,1648253,INR,intern,IT Services,docker certified,infra automation,"leadership,adaptability",Junior,Mumbai,5
Cybersecurity Analyst,"vulnerability assessment,network security,cryptography,incident response,firewall",entry,security,bachelor,metasploit,3,934499,2816095,INR,contract,Cybersecurity,ceh,security audits,"leadership,adaptability",Senior,Remote,4
Frontend Developer,"jest,sass,css,redux,tailwind",mid,software,bachelor,figma,0,1199750,1989688,INR,contract,E-commerce,frontend nanodegree,optimize frontend performance,"adaptability,teamwork",Architect,Canada,2
Data Analyst,"statistics,powerbi,sql,python,data visualization,pandas,tableau,excel",entry,data,bachelor,tableau,9,688758,1776512,INR,remote,Cloud,google data analytics,analyze data,"leadership,creativity",Senior,Canada,5
Cybersecurity Analyst,"cryptography,python,incident response,network security,firewall,vulnerability assessment,linux",senior,security,master,nessus,7,841092,2314760,INR,intern,IT Services,ceh,threat monitoring,"adaptability,communication",Architect,Canada,3
Frontend Developer,"jest,webpack,typescript,css,html",senior,software,diploma,figma,6,743589,2739279,INR,contract,AI/ML,frontend nanodegree,optimize frontend performance,"adaptability,communication",Mid-level,Bangalore,4
Data Scientist,"statistics,python,pandas,matplotlib,nlp,seaborn,numpy,sql,scikit-learn",mid,data,master,tableau,0,986470,2038272,INR,hybrid,Cybersecurity,ibm data science,analyze datasets,"leadership,adaptability",Senior,USA,3
Software Developer,"java,node.js,git,typescript,c#,api",senior,software,master,git,9,1288967,2060056,INR,on-site,Healthcare,oracle java,write clean code,"teamwork,creativity",Lead,Pune,4
Machine Learning Engineer,"docker,pytorch,scikit-learn,numpy,pandas",entry,data,master,jupyter,6,392319,2536738,INR,hybrid,E-commerce,google ml engineer,build pipelines,"adaptability,leadership",Senior,Canada,5
Software Developer,"api,c#,git,sql,node.js,javascript,rest",senior,software,bachelor,postman,2,1434858,2402567,INR,contract,E-commerce,oracle java,write clean code,"leadership,creativity",Senior,USA,1
Data Analyst,"sql,tableau,excel,statistics,pandas",senior,data,bachelor,excel,0,1171744,2574790,INR,full-time,Cybersecurity,google data analytics,create dashboards,"creativity,teamwork",Architect,Pune,5
Cloud Engineer,"linux,azure,kubernetes,ci/cd,aws,terraform",mid,cloud,bachelor,terraform,2,767497,1792548,INR,hybrid,IT Services,aws cloud practitioner,deploy cloud infra,"creativity,adaptability",Senior,Pune,5
Software Developer,"sql,html,c#,git,javascript",mid,software,diploma,postman,0,445655,2485437,INR,full-time,Cloud,aws developer,fix bugs,"adaptability,communication",Senior,Delhi,4
Software Developer,"react,node.js,api,git,html,c#,python,docker,java",mid,software,diploma,git,10,1007923,2039653,INR,remote,AI/ML,aws developer,develop software features,"adaptability,teamwork",Senior,Chennai,2
Cloud Engineer,"azure,kubernetes,ci/cd,docker,gcp,monitoring,terraform",mid,cloud,bachelor,terraform,10,736125,1624560,INR,hybrid,IT Services,aws cloud practitioner,deploy cloud infra,"communication,problem-solving",Architect,Mumbai,1
Machine Learning Engineer,"python,docker,mlops,tensorflow,numpy,scikit-learn",entry,data,master,pytorch,6,771892,2157768,INR,remote,Cloud,google ml engineer,train ML models,"problem-solving,adaptability",Senior,Canada,1
Machine Learning Engineer,"nlp,pytorch,python,pandas,deep learning,numpy,docker,sql,scikit-learn,mlops",entry,data,bachelor,jupyter,9,740036,2886117,INR,contract,Cybersecurity,google ml engineer,train ML models,"creativity,leadership",Lead,Chennai,2
Machine Learning Engineer,"deep learning,sql,scikit-learn,tensorflow,pandas,python",senior,data,bachelor,tensorflow,6,1216230,1701415,INR,intern,AI/ML,google ml engineer,build pipelines,"adaptability,leadership",Lead,Delhi,4
Machine Learning Engineer,"python,pytorch,pandas,numpy,tensorflow,sql,nlp",mid,data,master,tensorflow,2,1173901,1555408,INR,hybrid,AI/ML,google ml engineer,train ML models,"creativity,communication",Architect,Hyderabad,3
DevOps Engineer,"kubernetes,linux,docker,monitoring,ci/cd,jenkins",senior,devops,master,docker,2,1079984,1576936,INR,remote,Cloud,docker certified,infra automation,"creativity,adaptability",Architect,Mumbai,2
DevOps Engineer,"monitoring,aws,kubernetes,ci/cd,jenkins,terraform",senior,devops,diploma,jenkins,5,890971,1916628,INR,full-time,Cloud,docker certified,manage CI/CD,"problem-solving,teamwork",Lead,Remote,5
Cloud Engineer,"ci/cd,kubernetes,gcp,docker,terraform,aws,linux,monitoring,azure",mid,cloud,master,cloudwatch,3,1105510,2829594,INR,contract,Cloud,aws cloud practitioner,deploy cloud infra,"creativity,adaptability",Mid-level,Pune,3
Backend Developer,"api,express,postgresql,django,mongodb,spring,python",mid,software,bachelor,docker,8,661916,1629424,INR,full-time,Gaming,aws practitioner,manage databases,"adaptability,problem-solving",Lead,Delhi,4
DevOps Engineer,"ci/cd,kubernetes,docker,monitoring,jenkins,terraform,linux,aws",senior,devops,bachelor,jenkins,8,1134535,2516908,INR,full-time,Healthcare,docker certified,infra automation,"communication,creativity",Junior,Pune,2
Data Scientist,"python,nlp,data analysis,scikit-learn,statistics,numpy,pandas",senior,data,diploma,python,5,555965,2621789,INR,intern,AI/ML,ibm data science,analyze datasets,"leadership,problem-solving",Lead,Mumbai,3
Data Analyst,"excel,pandas,powerbi,tableau,statistics",entry,data,bachelor,powerbi,0,492814,1619290,INR,hybrid,E-commerce,google data analytics,create dashboards,"problem-solving,creativity",Junior,Chennai,4
Data Scientist,"sql,scikit-learn,statistics,numpy,pandas,data analysis,seaborn,python",mid,data,bachelor,jupyter,6,1147684,1779485,INR,on-site,Cybersecurity,ibm data science,build predictive models,"leadership,communication",Junior,Mumbai,4
Backend Developer,"rest,java,spring,sql,node.js,express",entry,software,diploma,vscode,9,847608,2250796,INR,contract,Fintech,aws practitioner,manage databases,"adaptability,leadership",Senior,Pune,1
Cloud Engineer,"gcp,terraform,linux,azure,kubernetes,monitoring,ci/cd,docker",senior,cloud,master,jenkins,3,394154,1700752,INR,remote,Gaming,aws cloud practitioner,deploy cloud infra,"adaptability,communication",Architect,Remote,1
Data Scientist,"numpy,seaborn,pandas,data analysis,sql",mid,data,master,jupyter,5,1215184,2771312,INR,hybrid,Fintech,ibm data science,analyze datasets,"communication,adaptability",Senior,Bangalore,4
Cybersecurity Analyst,"incident response,python,firewall,network security,linux,vulnerability assessment,cryptography",entry,security,diploma,metasploit,0,1028139,2617247,INR,remote,Cybersecurity,ceh,security audits,"problem-solving,adaptability",Junior,Remote,4
Cybersecurity Analyst,"incident response,python,linux,network security,vulnerability assessment,firewall",mid,security,master,metasploit,0,897703,1716111,INR,contract,AI/ML,ceh,threat monitoring,"communication,problem-solving",Architect,Canada,5
DevOps Engineer,"kubernetes,jenkins,terraform,linux,monitoring,ci/cd,aws,docker",entry,devops,diploma,docker,2,319171,1958688,INR,hybrid,AI/ML,docker certified,manage CI/CD,"teamwork,creativity",Architect,USA,4
Data Scientist,"nlp,numpy,python,statistics,seaborn",senior,data,bachelor,python,2,988112,2591235,INR,remote,Fintech,ibm data science,build predictive models,"teamwork,adaptability",Junior,Canada,4
Full Stack Developer,"html,node.js,react,javascript,api,sql,mongodb",mid,software,master,figma,1,1282930,2944262,INR,contract,Cloud,full stack certificate,deployment,"creativity,adaptability",Lead,Hyderabad,5
Full Stack Developer,"react,express,mongodb,html,css,node.js,api",entry,software,diploma,vscode,4,572739,2589848,INR,hybrid,Cloud,full stack certificate,deployment,"communication,problem-solving",Junior,Delhi,2
Software Developer,"git,typescript,java,c#,node.js,docker,css,javascript,html,rest",senior,software,diploma,git,2,1210469,2886046,INR,contract,Fintech,aws developer,write clean code,"adaptability,problem-solving",Lead,Delhi,4
Backend Developer,"java,node.js,redis,python,mongodb,rest,django,express,spring,api,sql,docker",mid,software,bachelor,docker,3,510595,2353408,INR,hybrid,Cloud,aws practitioner,build APIs,"teamwork,adaptability",Architect,Canada,3
DevOps Engineer,"linux,terraform,aws,monitoring,jenkins",mid,devops,master,kubernetes,1,1447734,2030030,INR,remote,Healthcare,docker certified,manage CI/CD,"communication,leadership",Senior,Remote,1
Data Analyst,"excel,pandas,python,statistics,data visualization",senior,data,diploma,powerbi,10,586056,2058449,INR,remote,AI/ML,google data analytics,create dashboards,"teamwork,creativity",Junior,Pune,4
Frontend Developer,"jest,typescript,html,javascript,webpack,react,sass,css",senior,software,master,chrome devtools,7,1218407,1990449,INR,remote,E-commerce,frontend nanodegree,build UI,"teamwork,adaptability",Architect,Chennai,5
DevOps Engineer,"linux,docker,aws,ci/cd,monitoring,terraform,jenkins",mid,devops,bachelor,jenkins,9,332700,1594862,INR,remote,E-commerce,docker certified,infra automation,"creativity,teamwork",Junior,Pune,3
Full Stack Developer,"sql,css,rest,react,git,docker,node.js,express,mongodb,javascript,html,api",senior,software,diploma,postman,0,1395847,1747104,INR,hybrid,IT Services,full stack certificate,end-to-end development,"teamwork,communication",Senior,Remote,3
DevOps Engineer,"monitoring,ci/cd,jenkins,linux,aws,docker,kubernetes,terraform",entry,devops,diploma,docker,1,466667,2888036,INR,full-time,Gaming,docker certified,manage CI/CD,"leadership,teamwork",Architect,Mumbai,2
Frontend Developer,"redux,javascript,tailwind,html,sass,jest,webpack,react,css",senior,software,master,chrome devtools,5,621870,2694355,INR,remote,Fintech,frontend nanodegree,build UI,"problem-solving,teamwork",Senior,Pune,4
Cloud Engineer,"aws,gcp,monitoring,docker,terraform",entry,cloud,diploma,cloudwatch,0,781855,1943373,INR,on-site,AI/ML,aws cloud practitioner,deploy cloud infra,"problem-solving,adaptability",Junior,Mumbai,5
Full Stack Developer,"rest,node.js,sql,git,html,mongodb,express,docker,react,api",senior,software,master,figma,4,1362675,2299355,INR,hybrid,Gaming,full stack certificate,deployment,"leadership,adaptability",Senior,Mumbai,3
Machine Learning Engineer,"python,sql,tensorflow,mlops,pandas,docker,nlp,pytorch,numpy",senior,data,bachelor,jupyter,3,499265,1628058,INR,on-site,Fintech,google ml engineer,build pipelines,"problem-solving,teamwork",Mid-level,Remote,4
Frontend Developer,"jest,typescript,html,redux,webpack,react,sass",mid,software,master,chrome devtools,6,1478897,2770927,INR,remote,Fintech,frontend nanodegree,build UI,"leadership,problem-solving",Lead,Pune,2
Cybersecurity Analyst,"python,network security,firewall,linux,incident response,cryptography,vulnerability assessment",senior,security,master,wireshark,7,1307173,2358320,INR,remote,Fintech,ceh,security audits,"creativity,problem-solving",Senior,Delhi,1
Frontend Developer,"tailwind,react,webpack,jest,typescript",senior,software,diploma,vscode,5,556337,2361528,INR,contract,Cloud,frontend nanodegree,optimize frontend performance,"communication,adaptability",Architect,Mumbai,3
